Scenario,EpsilonRange,T,FC,Alpha,F1_Score,Epsilon,FGSM,PGD,Train_Accuracy,Train_Loss,Val_Accuracy,Val_Loss,Test_Accuracy,Test_Loss,Memory
4,0.4-0.7,6,134,0.0001,0.882343423,0.0637,36,14,0.880400002,0.374851435,0.886399984,0.353550315,0.883400023,0.383074641,213.2382813
4,0.4-0.7,7,134,0.0001,0.889339127,0.0542,48,2,0.886799991,0.383767813,0.892799973,0.369761705,0.889599979,0.398326188,208.8164063
4,0.4-0.7,8,170,0.0001,0.891256198,0.0639,3,47,0.906400025,0.293735534,0.913600028,0.262632936,0.891900003,0.344949335,206.3242188
4,0.4-0.7,9,256,0.00001,0.892656244,0.0565,7,43,0.911199987,0.286848694,0.916199982,0.272278935,0.898000002,0.346908301,181.2226563
4,0.4-0.7,10,88,0.00001,0.916080791,0.0523,28,22,0.919200003,0.278378397,0.923200011,0.262360722,0.917100012,0.281074911,337.7304688
4,0.4-0.7,11,48,0.00001,0.922458877,0.0625,47,3,0.923799992,0.259431362,0.922599971,0.263201088,0.922599971,0.263568878,302.203125
4,0.4-0.7,12,18,0.00001,0.928749737,0.0694,19,31,0.930999994,0.223158076,0.930199981,0.225135222,0.92900002,0.226349026,177.4296875
4,0.4-0.7,13,35,0.00001,0.932504152,0.0684,43,7,0.932600021,0.22224763,0.933600008,0.233618647,0.932900012,0.227817208,158.734375
4,0.4-0.7,14,33,0.000001,0.933392995,0.0688,35,15,0.934400022,0.2184138,0.934199989,0.215962037,0.934099972,0.217963353,153.4882813
4,0.4-0.7,15,79,0.000001,0.928740881,0.0579,12,38,0.92839998,0.228666678,0.935199976,0.208352536,0.931200027,0.221444577,182.7460938
4,0.4-0.7,16,62,0.000001,0.928000894,0.0511,33,17,0.92839998,0.251370102,0.929400027,0.241846561,0.928799987,0.247810274,166.0507813
4,0.4-0.7,17,28,0.000001,0.934203687,0.0625,27,23,0.936800003,0.229754567,0.932600021,0.241571218,0.934400022,0.236696437,286.5585938
4,0.4-0.7,18,52,0.000001,0.931315107,0.0578,45,5,0.929799974,0.249998197,0.933000028,0.232871637,0.931400001,0.241503417,176.8007813
4,0.4-0.7,19,37,0.0000001,0.934440127,0.0587,35,15,0.934000015,0.2352148,0.936200023,0.214009553,0.935100019,0.224656671,165.90625
4,0.4-0.7,20,48,0.0000001,0.932039583,0.0613,46,4,0.934000015,0.236131445,0.930599988,0.238934204,0.932299972,0.237526923,169.0859375
4,0.4-0.7,21,47,0.0000001,0.931090169,0.0546,16,34,0.931200027,0.227377251,0.933399975,0.212293744,0.932099998,0.219861552,178.3203125
4,0.4-0.7,22,33,0.0000001,0.936455552,0.0631,33,17,0.932600021,0.242173687,0.941200018,0.204843313,0.93690002,0.223505467,162.875
4,0.4-0.7,23,26,0.0000001,0.934144541,0.0671,18,32,0.931599975,0.223962009,0.938399971,0.208722174,0.935000002,0.216417506,169.1992188
4,0.4-0.7,24,37,0.00000001,0.93207245,0.0596,39,11,0.933399975,0.22639057,0.931400001,0.234573469,0.932399988,0.230479985,152.0390625
4,0.4-0.7,25,41,0.00000001,0.931462158,0.0552,39,11,0.929799974,0.247274116,0.933200002,0.220732346,0.931500018,0.234003514,170.5820313
4,0.4-0.7,26,38,0.00000001,0.93437697,0.0618,34,16,0.930599988,0.235740289,0.939199984,0.210698187,0.934800029,0.223216534,165.2460938
4,0.4-0.7,27,43,0.00000001,0.931350907,0.0566,25,25,0.931999981,0.224794045,0.933200002,0.221727416,0.932600021,0.223260745,183.1523438
4,0.4-0.7,28,62,0.00000001,0.928394565,0.0519,40,10,0.9296,0.231570408,0.928200006,0.26230818,0.928900003,0.246958941,102.6367188
4,0.4-0.7,29,58,0.000000001,0.932549992,0.0521,22,28,0.93779999,0.214051813,0.92839998,0.24334231,0.933099985,0.228698,61.15625
4,0.4-0.7,30,55,0.000000001,0.934912859,0.0534,1,49,0.937600017,0.21148245,0.934800029,0.205094293,0.93629998,0.208289593,156.0976563
4,0.4-0.7,31,53,0.000000001,0.932882266,0.0512,36,14,0.930800021,0.229107544,0.935400009,0.232968047,0.933099985,0.231038287,157.171875
4,0.4-0.7,32,28,0.000000001,0.933210951,0.067,36,14,0.933799982,0.233009204,0.933399975,0.226352513,0.933600008,0.229681492,167.7539063
4,0.4-0.7,33,32,0.000000001,0.935444814,0.0663,12,38,0.933000028,0.210859209,0.940599978,0.202971637,0.93690002,0.206915632,285.6796875
