"y1","y2","x1","x2","x3","z1","z2","c1","c2","c3"
0.774762982750498,0.00618332649718793,0.495,0.01,0.495,1,1,0,0,1
0.796216543337773,0.0068437425692643,0.495,0.495,0.01,1,1,0,0,1
0.910717037630606,0.000124467267687577,0.33,0.33,0.34,1,1,0,0,1
0.65276057917074,0.00758899823698759,0.01,0.01,0.98,0,1,0,0,1
0.536058803700083,0.0192617600911841,0.01,0.98,0.01,0,1,0,0,1
0.497352052060029,1.83687417286125e-05,0.98,0.01,0.01,0,1,0,0,1
0.754623990635655,0.000384986154172864,0.01,0.495,0.495,0,1,0,0,1
0.756705754720494,0.00227401550307088,0.495,0.01,0.495,0,1,0,0,1
0.664243562534948,0.0193034261995076,0.495,0.495,0.01,0,1,0,0,1
0.846350831157132,0.000126260165318111,0.33,0.33,0.34,0,1,0,0,1
0.735091444671222,0.0557412033484757,0.01,0.01,0.98,1,0,0,0,1
0.735565630120559,0.0904520352370567,0.01,0.98,0.01,1,0,0,0,1
0.685112225334474,0.170511071814745,0.98,0.01,0.01,1,0,0,0,1
0.812245985649294,0.0339464320172932,0.01,0.495,0.495,1,0,0,0,1
0.826829703741369,0.0262447947036233,0.495,0.01,0.495,1,0,0,0,1
0.900466105240212,0.0102872988011673,0.495,0.495,0.01,1,0,0,0,1
0.862365750245832,0.018533773675576,0.33,0.33,0.34,1,0,0,0,1
0.753965109113045,0.0430762511555932,0.01,0.01,0.98,0,0,0,0,1
0.537557908940624,0.0111025861703004,0.01,0.98,0.01,0,0,0,0,1
0.498555805134062,4.67820839588173e-05,0.98,0.01,0.01,0,0,0,0,1
0.809602193924427,0.0329417401887514,0.01,0.495,0.495,0,0,0,0,1
0.7578529984102,0.0533687995863363,0.495,0.01,0.495,0,0,0,0,1
0.569269247681112,0.0313584755916026,0.495,0.495,0.01,0,0,0,0,1
0.829716888164881,0.0242586175954469,0.33,0.33,0.34,0,0,0,0,1
0.674863256740371,0.0192912323462796,0.01,0.01,0.98,1,1,0,0,1
0.665893806800211,0.0153677954670715,0.01,0.98,0.01,1,1,0,0,1
0.659580809111445,0.00609284448764194,0.98,0.01,0.01,1,1,0,0,1
0.811658792639246,0.000305079840304463,0.01,0.495,0.495,1,1,0,0,1
0.785451409527148,0.00413876881804704,0.495,0.01,0.495,1,1,0,0,1
0.790447394998032,0.00753117492567564,0.495,0.495,0.01,1,1,0,0,1
0.912086116709862,0.000302543992162942,0.33,0.33,0.34,1,1,0,0,1
0.63220592262963,0.0066417933525497,0.01,0.01,0.98,0,1,0,0,1
0.577336988549716,0.0203430964672514,0.01,0.98,0.01,0,1,0,0,1
0.497350457576577,1.91373468680597e-05,0.98,0.01,0.01,0,1,0,0,1
0.758987721369736,0.000441922918123947,0.01,0.495,0.495,0,1,0,0,1
0.763679241887277,0.00414388510669856,0.495,0.01,0.495,0,1,0,0,1
0.678532762233212,0.0206486315307195,0.495,0.495,0.01,0,1,0,0,1
0.837370635271335,9.70840262787913e-05,0.33,0.33,0.34,0,1,0,0,1
0.763703882207559,0.0445448688365535,0.01,0.01,0.98,1,0,0,0,1
0.727524316489897,0.102168206529546,0.01,0.98,0.01,1,0,0,0,1
